"V1","V4","V5"
"SRX100903","DNase-Seq","Blood"
"SRX100905","DNase-Seq","Blood"
"SRX100906","DNase-Seq","Bone"
"SRX100908","DNase-Seq","Blood"
"SRX100909","DNase-Seq","Blood"
"SRX100910","DNase-Seq","Blood"
"SRX100911","DNase-Seq","Blood"
"SRX100913","DNase-Seq","Liver"
"SRX100919","DNase-Seq","Liver"
"SRX100990","DNase-Seq","Epidermis"
"SRX100991","DNase-Seq","Epidermis"
"SRX1012137","H3K4me1","Epidermis"
"SRX1012138","H3K4me3","Epidermis"
"SRX1012139","H3K36me3","Epidermis"
"SRX1012140","H3K4me1","Epidermis"
"SRX1012141","H3K4me3","Epidermis"
"SRX1012142","H3K36me3","Epidermis"
"SRX1012143","H3K4me1","Epidermis"
"SRX1012144","H3K4me3","Epidermis"
"SRX1012145","H3K36me3","Epidermis"
"SRX1012146","SMAD3","Epidermis"
"SRX1012536","FOXO1","Blood"
"SRX1012537","FOXO1","Blood"
"SRX1012538","BCL6","Blood"
"SRX1012539","BCL6","Blood"
"SRX1013888","H3K4me3","Liver"
"SRX1013889","H3K27ac","Liver"
"SRX1013892","H3K27me3","Liver"
"SRX1013895","H3K4me3","Liver"
"SRX1013896","H3K27ac","Liver"
"SRX1013899","H3K27me3","Liver"
"SRX1022747","WRN","Kidney"
"SRX1023528","H3K27me3","Liver"
"SRX1023934","H3K27ac","Blood"
"SRX1023936","H3K27ac","Blood"
"SRX102977","CTCF","Blood"
"SRX102978","CTCF","Blood"
"SRX102979","CTCF","Blood"
"SRX102997","MYC","Cardiovascular"
"SRX1038944","YAP1","Lung"
"SRX1038945","YAP1","Lung"
"SRX1042046","BPTF","Blood"
"SRX1042048","SETD1A","Blood"
"SRX1042049","USF1","Blood"
"SRX1042050","USF2","Blood"
"SRX1053362","H3K27ac","Pluripotent stem cell"
"SRX1053363","H3K27ac","Pluripotent stem cell"
"SRX1053940","H3K27me3","Pluripotent stem cell"
"SRX105597","H3K4me3","Epidermis"
"SRX105598","H3K4me3","Epidermis"
"SRX106084","H3K27me3","Blood"
