"id_data_tfs","V2"
"SRX189401","DNase hypersensitivity regions"
"SRX189407","DNase hypersensitivity regions"
"SRX189408","DNase hypersensitivity regions"
"SRX189413","DNase hypersensitivity regions"
"SRX189414","DNase hypersensitivity regions"
"SRX189417","DNase hypersensitivity regions"
"SRX189419","DNase hypersensitivity regions"
"SRX189420","DNase hypersensitivity regions"
"SRX189421","DNase hypersensitivity regions"
"SRX189432","DNase hypersensitivity regions"
"SRX189433","DNase hypersensitivity regions"
"SRX193584","DNase hypersensitivity regions"
"SRX193596","DNase hypersensitivity regions"
"SRX193607","DNase hypersensitivity regions"
"SRX193611","DNase hypersensitivity regions"
"SRX193613","DNase hypersensitivity regions"
"SRX201252","DNase hypersensitivity regions"
"SRX201253","DNase hypersensitivity regions"
"SRX201289","DNase hypersensitivity regions"
"SRX201300","DNase hypersensitivity regions"
"SRX201793","DNase hypersensitivity regions"
"SRX201821","DNase hypersensitivity regions"
"SRX2370615","DNase hypersensitivity regions"
"SRX2370645","DNase hypersensitivity regions"
"SRX2370646","DNase hypersensitivity regions"
"SRX2370766","DNase hypersensitivity regions"
"SRX201251","DNase hypersensitivity regions"
"SRX201256","DNase hypersensitivity regions"
"SRX201266","DNase hypersensitivity regions"
"SRX201278","DNase hypersensitivity regions"
"SRX201279","DNase hypersensitivity regions"
"SRX201285","DNase hypersensitivity regions"
"SRX201286","DNase hypersensitivity regions"
"SRX201287","DNase hypersensitivity regions"
"SRX201290","DNase hypersensitivity regions"
"SRX201291","DNase hypersensitivity regions"
"SRX201295","DNase hypersensitivity regions"
"SRX2370571","DNase hypersensitivity regions"
"SRX2370572","DNase hypersensitivity regions"
"SRX2370578","DNase hypersensitivity regions"
"SRX2370595","DNase hypersensitivity regions"
"SRX2370605","DNase hypersensitivity regions"
"SRX2370606","DNase hypersensitivity regions"
"SRX2370611","DNase hypersensitivity regions"
"SRX2370620","DNase hypersensitivity regions"
"SRX2370624","DNase hypersensitivity regions"
"SRX2370625","DNase hypersensitivity regions"
"SRX2370635","DNase hypersensitivity regions"
"SRX2370636","DNase hypersensitivity regions"
"SRX2370639","DNase hypersensitivity regions"
"SRX2370640","DNase hypersensitivity regions"
"SRX2370686","DNase hypersensitivity regions"
"SRX2370698","DNase hypersensitivity regions"
"SRX2370706","DNase hypersensitivity regions"
"SRX2370708","DNase hypersensitivity regions"
"SRX2370756","DNase hypersensitivity regions"
"SRX2370761","DNase hypersensitivity regions"
"SRX2370762","DNase hypersensitivity regions"
"SRX2370763","DNase hypersensitivity regions"
"SRX2370779","DNase hypersensitivity regions"
"SRX2370783","DNase hypersensitivity regions"
"SRX2370798","DNase hypersensitivity regions"
"SRX2935864","DNase hypersensitivity regions"
"SRX2935865","DNase hypersensitivity regions"
"SRX3205779","Histone marks"
"SRX1023528","Histone marks"
"SRX974429","Histone marks"
"SRX974431","Histone marks"
"SRX038564","Histone marks"
"SRX038565","Histone marks"
"SRX038566","Histone marks"
"SRX038567","Histone marks"
"SRX038568","Histone marks"
"SRX038569","Histone marks"
"SRX038570","Histone marks"
"SRX038571","Histone marks"
"SRX038572","Histone marks"
"SRX038573","Histone marks"
"SRX038574","Histone marks"
"SRX038575","Histone marks"
"SRX038576","Histone marks"
"SRX038577","Histone marks"
"SRX040574","Histone marks"
"SRX067401","Histone marks"
"SRX038578","Histone marks"
"SRX038579","Histone marks"
"SRX067398","Histone marks"
"SRX067405","Histone marks"
"SRX067411","Histone marks"
"SRX067456","Histone marks"
"SRX067458","Histone marks"
"SRX067413","Histone marks"
"SRX067460","Histone marks"
"SRX067484","Histone marks"
"SRX067496","Histone marks"
"SRX067504","Histone marks"
"SRX037430","Histone marks"
"SRX037431","Histone marks"
"SRX037432","Histone marks"
"SRX037433","Histone marks"
"SRX067463","Histone marks"
"SRX067464","Histone marks"
"SRX067473","Histone marks"
"SRX099400","Histone marks"
"SRX099401","Histone marks"
"SRX099402","Histone marks"
"SRX099403","Histone marks"
"SRX099890","Histone marks"
"SRX1012137","Histone marks"
"SRX1012138","Histone marks"
"SRX1012139","Histone marks"
"SRX1012140","Histone marks"
"SRX1012141","Histone marks"
"SRX1012142","Histone marks"
"SRX1012143","Histone marks"
"SRX1012144","Histone marks"
"SRX099891","Histone marks"
"SRX1012145","Histone marks"
"SRX1184121","Histone marks"
"SRX1184122","Histone marks"
"SRX1184123","Histone marks"
"SRX1184124","Histone marks"
"SRX119737","Histone marks"
"SRX130252","Histone marks"
"SRX130253","Histone marks"
"SRX130254","Histone marks"
"SRX130256","Histone marks"
"SRX130257","Histone marks"
"SRX130258","Histone marks"
"SRX1360979","Histone marks"
"SRX1360980","Histone marks"
"SRX1360981","Histone marks"
"SRX1403823","Histone marks"
"SRX1403824","Histone marks"
"SRX1403825","Histone marks"
"SRX1403826","Histone marks"
"SRX1403827","Histone marks"
"SRX1403828","Histone marks"
"SRX1403829","Histone marks"
"SRX1403830","Histone marks"
"SRX151348","Histone marks"
"SRX151349","Histone marks"
"SRX151350","Histone marks"
"SRX151351","Histone marks"
"SRX151352","Histone marks"
"SRX151353","Histone marks"
"SRX151354","Histone marks"
"SRX151355","Histone marks"
"SRX151356","Histone marks"
"SRX151357","Histone marks"
"SRX151358","Histone marks"
"SRX151359","Histone marks"
"SRX151360","Histone marks"
"SRX151361","Histone marks"
"SRX151362","Histone marks"
"SRX151363","Histone marks"
"SRX151364","Histone marks"
"SRX151365","Histone marks"
"SRX151366","Histone marks"
"SRX151367","Histone marks"
"SRX151368","Histone marks"
"SRX151369","Histone marks"
"SRX151370","Histone marks"
"SRX151371","Histone marks"
"SRX151372","Histone marks"
"SRX151373","Histone marks"
"SRX151374","Histone marks"
"SRX151375","Histone marks"
"SRX151376","Histone marks"
"SRX151377","Histone marks"
"SRX151378","Histone marks"
"SRX151379","Histone marks"
"SRX151380","Histone marks"
"SRX151381","Histone marks"
"SRX151382","Histone marks"
"SRX151383","Histone marks"
"SRX151384","Histone marks"
"SRX151385","Histone marks"
"SRX151386","Histone marks"
"SRX151387","Histone marks"
"SRX151388","Histone marks"
"SRX151389","Histone marks"
"SRX151390","Histone marks"
"SRX151391","Histone marks"
"SRX151392","Histone marks"
"SRX151393","Histone marks"
"SRX151394","Histone marks"
"SRX151395","Histone marks"
"SRX1595751","Histone marks"
"SRX1595752","Histone marks"
"SRX1658064","Histone marks"
"SRX1658065","Histone marks"
"SRX1658066","Histone marks"
"SRX1658073","Histone marks"
"SRX1658074","Histone marks"
"SRX186682","Histone marks"
"SRX186701","Histone marks"
"SRX186681","Histone marks"
"SRX186696","Histone marks"
"SRX186753","Histone marks"
"SRX189942","Histone marks"
"SRX186722","Histone marks"
"SRX186749","Histone marks"
"SRX186750","Histone marks"
"SRX189961","Histone marks"
"SRX189987","Histone marks"
"SRX189990","Histone marks"
"SRX2368880","Histone marks"
"SRX2368881","Histone marks"
"SRX2368882","Histone marks"
"SRX2368883","Histone marks"
"SRX190060","Histone marks"
"SRX026055","Histone marks"
"SRX026070","Histone marks"
"SRX3205774","Histone marks"
"SRX3205776","Histone marks"
"SRX3205777","Histone marks"
"SRX3205778","Histone marks"
"SRX3644343","Histone marks"
"SRX3644344","Histone marks"
"SRX3644352","Histone marks"
"SRX3644353","Histone marks"
"SRX3644359","Histone marks"
"SRX3644360","Histone marks"
"SRX3644361","Histone marks"
"SRX3644362","Histone marks"
"SRX4080277","Histone marks"
"SRX4080278","Histone marks"
"SRX4080279","Histone marks"
"SRX4080280","Histone marks"
"SRX4080281","Histone marks"
"SRX4080282","Histone marks"
"SRX4080283","Histone marks"
"SRX4080284","Histone marks"
"SRX4080285","Histone marks"
"SRX4080287","Histone marks"
"SRX3644363","Histone marks"
"SRX3644364","Histone marks"
"SRX381321","Histone marks"
"SRX381322","Histone marks"
"SRX381323","Histone marks"
"SRX381324","Histone marks"
"SRX381325","Histone marks"
"SRX539644","Histone marks"
"SRX539645","Histone marks"
"SRX539646","Histone marks"
"SRX539647","Histone marks"
"SRX750658","Histone marks"
"SRX750663","Histone marks"
"SRX038604","Histone marks"
"SRX038605","Histone marks"
"SRX038606","Histone marks"
"SRX038607","Histone marks"
"SRX038614","Histone marks"
"SRX038615","Histone marks"
"SRX113587","Histone marks"
"SRX1146095","Histone marks"
"SRX1782982","Histone marks"
"SRX038506","Histone marks"
"SRX038507","Histone marks"
"SRX038508","Histone marks"
"SRX038509","Histone marks"
"SRX038516","Histone marks"
"SRX038517","Histone marks"
"SRX091996","Histone marks"
"SRX091997","Histone marks"
"SRX1013888","Histone marks"
"SRX1013889","Histone marks"
"SRX1013892","Histone marks"
"SRX1013895","Histone marks"
"SRX1013896","Histone marks"
"SRX1013899","Histone marks"
"SRX110937","Histone marks"
"SRX1456201","Histone marks"
"SRX1458748","Histone marks"
"SRX1458750","Histone marks"
"SRX1458752","Histone marks"
"SRX1458754","Histone marks"
"SRX1458756","Histone marks"
"SRX1458758","Histone marks"
"SRX151398","Histone marks"
"SRX1707573","Histone marks"
"SRX1707574","Histone marks"
"SRX2253241","Histone marks"
"SRX2253243","Histone marks"
"SRX2426299","Histone marks"
"SRX2426300","Histone marks"
"SRX663448","Histone marks"
"SRX707366","Histone marks"
"SRX707369","Histone marks"
"SRX871279","Histone marks"
"SRX871282","Histone marks"
"SRX871290","Histone marks"
"SRX871291","Histone marks"
"SRX003795","Histone marks"
"SRX003843","Histone marks"
"SRX003845","Histone marks"
"SRX005146","Histone marks"
"SRX005149","Histone marks"
"SRX005383","Histone marks"
"SRX005384","Histone marks"
"SRX005385","Histone marks"
"SRX005386","Histone marks"
"SRX012394","Histone marks"
"SRX012397","Histone marks"
"SRX019616","Histone marks"
"SRX026054","Histone marks"
"SRX026069","Histone marks"
"SRX027298","Histone marks"
"SRX038917","Histone marks"
"SRX093188","Histone marks"
"SRX1053362","Histone marks"
"SRX1053363","Histone marks"
"SRX1053940","Histone marks"
"SRX106084","Histone marks"
"SRX1089813","Histone marks"
"SRX1089816","Histone marks"
"SRX1089818","Histone marks"
"SRX1142193","Histone marks"
"SRX1142194","Histone marks"
"SRX1142195","Histone marks"
"SRX1142196","Histone marks"
"SRX1142250","Histone marks"
"SRX1733633","Histone marks"
"SRX1823772","Histone marks"
"SRX1823773","Histone marks"
"SRX1823779","Histone marks"
"SRX1823780","Histone marks"
"SRX2164057","Histone marks"
"SRX2164058","Histone marks"
"SRX2778364","Histone marks"
"SRX2778365","Histone marks"
"SRX306543","Histone marks"
"SRX306547","Histone marks"
