"Gene_symbol","Wilcox_P","Mean_fc","Adjust_P","Adjust_P_rank","Mean_fc_rank","sgRNA_number","Screen_score"
"RP11-1018N14.4",0.0603737900693435,0.945469958835422,0.06,8090.5,3414,4,-1.24140889372375
"RP11-1018N14.5",0.0358080320396924,0.926436349038342,0.036,7326.5,3029,3,-0.939455593796819
"RP11-101C11.1",0.00578811121674629,1.07479662837227,0.006,5113,6639,4,-0.257396484407267
"RP11-101E14.3",0.0928451468672444,0.911091914222161,0.084,8757.5,2746,5,-1.19083075157242
"RP11-101E7.2",2.88e-08,1.00962480628726,0,587,4919,16,1.05668638464633
"RP11-101O21.1",1.55e-05,1.01892205296878,0.001,2438,5155,25,0.154976545933835
"RP11-101P17.11",0.0675626333413064,0.949191934681158,0.067,8286.5,3489,5,-1.30436533514235
"RP11-1020M18.10",0.0014593315959828,1.02706174173361,0.002,3860.5,5370,15,-0.0610403303111812
"RP11-1022B3.1",0.000149194926543084,1.09838021430602,0.001,2438,7243,4,0.526568535265191
"RP11-1023P17.2",0.000805433230226935,1.1325915944195,0.001,2438,8097,11,0.678350220257283
"RP11-1028N23.3",0.00298554271516338,1.04124708493393,0.003,4303,5745,16,-0.146983690220711
"RP11-1028N23.4",0.000186337396615605,1.02243099511427,0.001,2438,5241,18,0.171988872710533
"RP11-1029J19.2",0.105748413900314,1.0708787149536,0.106,8975,6540,3,-1.40350786514908
"RP11-1029J19.4",0.00122956463669406,0.768166363625324,0.001,2438,960,7,1.36637075226806
"RP11-1029J19.5",6.61e-06,0.857429895403486,0.001,2438,1917,13,0.822378566392636
"RP11-102F4.2",0.0273649561291893,1.01916337603871,0.023,6875.5,5159,7,-1.04631306786941
"RP11-102N11.1",0.131587216359046,1.12705331121025,0.135,9378,7959,3,-1.24593841598682
"RP11-102N12.2",0.972932637156115,1.27486404159766,0.028,7130.5,10381,4,-0.0159261434485988
"RP11-1033H12.1",0.111030173406582,1.21697788573043,0.113,9077.5,9761,4,-0.795863900539868
"RP11-1038A11.1",0.000449667525305902,1.13938616591893,0.001,2438,8274,10,0.707948659633694
"RP11-1038A11.3",1.39e-05,1.02347577478637,0.001,2438,5273,21,0.177042977119941
"RP11-103B5.2",0.000101390505395819,0.799026634674111,0.001,2438,1232,9,1.1714645264916
"RP11-103C16.2",0.00942468431430523,1.15369768482797,0.01,5536,8619,8,-0.1059938440547
"RP11-103C3.1",0.185987163002766,1.01485779005479,0.2,10008,5053,3,-1.91997336821262
"RP11-103H7.1",0.00885146359763115,1.1551291070003,0.01,5536,8648,9,-0.0998578267814041
"RP11-103H7.2",6.72e-07,0.974826701357299,0,587,4066,9,1.13446078608657
"RP11-103H7.3",1.59e-05,1.14651718391393,0.001,2438,8443,19,0.738823507823393
"RP11-103H7.5",0.1158181726051,1.02434471426016,0.116,9133.5,5295,12,-1.65892734743937
"RP11-103J17.1",0.0966735137904655,1.24089501612242,0.091,8824.5,10068,5,-0.614117541720081
"RP11-103J8.1",0.00249585598895346,1.22303829717594,0.003,4303,9837,38,0.649334624865819
"RP11-1042B17.3",0.00445733439434234,1.06072535344198,0.004,4765.5,6273,8,-0.165692859220787
"RP11-1042B17.5",1.65e-05,1.08515634304696,0.001,2438,6906,8,0.46662926841232
"RP11-1049A21.2",0.00449304290919562,0.901444863105646,0.004,4765.5,2582,5,0.0550239444238318
"RP11-1049H7.2",0.308299938839871,1.00477782337003,0.328,10994.5,4795,4,-2.16467736006341
"RP11-104E19.1",0.052766287784748,0.641223311958654,0.05,7898,356,5,0.751940398975077
"RP11-104H15.7",1.89e-08,1.13802231045703,0,587,8240,38,1.64909191162813
"RP11-104H15.8",0.0148135893090857,0.895032686276359,0.015,6203.5,2481,13,-0.42456192672968
"RP11-104H15.9",0.122161379653085,1.18141957881597,0.122,9245,9201,7,-0.972850105455991
"RP11-104J23.1",0.0783835056144777,0.715787608852139,0.072,8514,641,5,0.0638240311187984
"RP11-104L21.2",3.19e-06,0.58888872502886,0.001,2438,262,10,2.68146675843451
"RP11-104N10.1",0.000238234983979405,0.981998169484983,0.001,2438,4246,13,0.151119346694071
