"Gene_symbol","Wilcox_P","Mean_fc","Adjust_P","Adjust_P_rank","Mean_fc_rank","sgRNA_number","Screen_score"
"neg_812",0.00585704749267266,1.42179685025239,0.044,5677,8727,10,-0.325551120754975
"neg_813",0.19089249020953,1.75778648408696,0.476,11814.5,10495,10,-0.561116018763006
"neg_814",0.158148228669077,2.08363071786788,0.425,11298,11350,10,-0.0993763291167862
"neg_815",0.0633489391262864,1.59903734711156,0.239,9222,9870,10,-0.576052238718824
"neg_816",0.295998810876572,1.76592794510598,0.394,10973.5,10533,10,-0.488699168134748
"neg_817",0.446571235133838,2.0260053592561,0.274,9608,11228,10,-0.0282164790762158
"neg_818",0.059129557808735,1.84242333020444,0.231,9114,10786,10,-0.21079965235602
"neg_819",0.00673011517300768,1.37495972695499,0.047,5860,8373,10,-0.430505516522315
"neg_82",0.122804273693056,1.47926685995807,0.357,10604.5,9158,10,-0.89989762288562
"neg_820",0.0403661248503884,1.55906619540146,0.183,8396,9651,10,-0.553436179983469
"neg_821",0.0138795787121641,1.55716464346642,0.078,6763,9643,10,-0.282149148941391
"neg_822",0.0823578061267832,1.85105829440561,0.292,9762.5,10805,10,-0.274528922600566
"neg_823",0.874278816365001,1.90676646057733,0.052,6089.5,10949,10,0.354687622994368
"neg_824",0.38976930070625,1.96675553131811,0.318,10092.5,11081,10,-0.150372841965351
"neg_825",0.00883370604883857,1.58731515056952,0.056,6153.5,9804,10,-0.127665281733332
"neg_826",0.394227404227871,1.7298159979258,0.311,10014.5,10404,10,-0.464221616485913
"neg_827",0.0149512435909358,1.37314123080916,0.08,6821,8357,10,-0.604786221767252
"neg_828",0.0664572585064559,1.51976688420361,0.253,9348.5,9401,10,-0.72151925336654
"neg_829",0.0440554707423548,1.47999331245447,0.197,8571,9167,10,-0.707316880080177
"neg_83",0.169804476527378,1.89082576313903,0.44,11490,10903,10,-0.353354682707796
"neg_830",0.522318026989795,2.53607637548546,0.217,8910.5,11806,10,0.608387178107165
"neg_831",0.175451988845488,2.00020072932256,0.451,11586,11157,10,-0.220679812351769
"neg_832",0.209865925862508,1.70071515148041,0.489,11924.5,10300,10,-0.65232830482347
"neg_833",0.106032092849186,2.12388607896778,0.338,10344.5,11425,10,0.0222033553049115
"neg_834",0.343274030186852,1.97283409208949,0.359,10619,11095,10,-0.181691019054253
"neg_835",0.209283600011559,2.10638008624678,0.49,11933,11388,10,-0.11803395760784
"neg_836",0.603275075484233,2.15323451824952,0.174,8326,11470,10,0.270222768255257
"neg_837",0.0883807621337107,1.67109606069045,0.304,9917.5,10182,10,-0.54325558042672
"neg_838",0.0208546366882507,1.85437375581309,0.106,7286,10811,10,0.0560177376499772
"neg_839",0.0506288488567419,1.69577126027942,0.213,8838.5,10280,10,-0.392107170458169
"neg_84",0.0177231845772155,1.45604608933724,0.092,7075.5,8991,10,-0.503137357710777
"neg_840",0.0719256762266546,1.51347127743869,0.262,9469,9369,10,-0.743150057919718
"neg_841",0.85731838731594,2.73572533551862,0.0610000000000001,6254.5,11869,10,1.20610672850478
"neg_842",0.184845310176683,2.75458574365539,0.469,11750.5,11871,10,0.566998866537296
"neg_843",0.0731983341084355,1.9843876919638,0.268,9523,11115,10,-0.072993695441982
"neg_844",0.7677230410645,1.96716905699465,0.104,7241,11082,10,0.209806734934113
"neg_845",0.0548681258898573,1.91756106543495,0.221,8964.5,10969,10,-0.0965984784813712
"neg_846",0.461411130054796,2.11230136002116,0.267,9507,11402,10,0.084422159763804
"neg_847",0.0170036544944888,1.44128983026538,0.089,6993.5,8881,10,-0.517946885599934
"neg_848",0.900490792557621,1.96942392542348,0.039,5589.5,11088,10,0.527961841163636
"neg_849",0.226853179074532,1.98534585154489,0.465,11703,11117,10,-0.249161742987732
"neg_85",0.0302748450073056,1.81001339184924,0.136,7874,10684,10,-0.0847058276703591
"neg_850",0.77146295308571,2.51757949455127,0.101,7219.5,11798,10,0.836152333210931
"neg_851",0.434410995618921,2.12042363496831,0.287,9689,11414,10,0.070770264740584
